YearMonth,BuildingDemand_B_Max,BuildingDemand_B_Min,BuildingDemand_B_Mean,BuildingDemand_B_Variance,BuildingDemand_B_StdDev,SolarF02_B_Max,SolarF02_B_Min,SolarF02_B_Mean,SolarF02_B_Variance,SolarF02_B_StdDev,Net_Demand_Max,Net_Demand_Min,Net_Demand_Mean,Net_Demand_Variance,Net_Demand_StdDev
2018-06,5398,2004,3574.1028282122907,383831.44889434,619.5413213776302,0,0,0,0,0,5398,2004,3574.1028282122907,383831.44889434,619.5413213776302
2018-07,5748,2534,3741.51853718638,446322.6249223811,668.0738169711346,0,0,0,0,0,5748,2534,3741.51853718638,446322.6249223811,668.0738169711346
2018-08,6737,2604,4022.2659610215055,670972.9598038811,819.1293913685927,0,0,0,0,0,6737,2604,4022.2659610215055,670972.9598038811,819.1293913685927
2018-09,7598,2573,4262.26087962963,873487.0255935079,934.6052779615081,0,0,0,0,0,7598,2573,4262.26087962963,873487.0255935079,934.6052779615081
2018-10,5949,2535,3592.2038530465948,396503.5640758899,629.6852897089861,0,0,0,0,0,5949,2535,3592.2038530465948,396503.5640758899,629.6852897089861
2018-11,5004,2289,3344.6578703703703,331830.450876995,576.0472644471068,0,0,0,0,0,5004,2289,3344.6578703703703,331830.450876995,576.0472644471068
2018-12,4349,2158,3047.3797043010754,347712.53054035635,589.6715446249347,0,0,0,0,0,4349,2158,3047.3797043010754,347712.53054035635,589.6715446249347
2019-01,4462,2092,3241.562948028674,283353.987691633,532.3100484601366,1541,0,178.12326107764335,59434.88069472261,243.79270024904892,4308,1015,3063.4396869510306,350085.33945364883,591.6800989163391
2019-02,4538,2497,3509.995163690476,244610.338002156,494.5809721391999,1570,0,228.72910711966765,88607.14112017858,297.66951661226346,4526,1337,3281.2660565708084,375200.6485446488,612.536242637649
2019-03,4418,2474,3373.2820340501794,224641.69484017717,473.9638117411256,1584,0,414.6829671789875,198396.31913895294,445.4170171187366,4255,1316,2958.599066871192,345203.3584779968,587.5400909537976
2019-04,5579,2504,3576.176851851852,322582.710703828,567.963652625613,1578,0,419.5284166676852,204150.6183236907,451.8302981470927,5235,1504,3156.648435184167,404398.2085038124,635.923115245713
2019-05,5239,1593,2957.7761536738353,288415.70987183874,537.0434897397405,1561,0,444.89253740428984,232302.77301245244,481.97797980037683,4690,728,2512.883616269545,366306.390058399,605.2325090891921
2019-06,4704,2295,3086.195833333333,238379.33796156963,488.24106541909157,1558,0,513.0709473894212,300789.8631852467,548.4431266642392,4220,1119,2573.124885943912,273911.02141199686,523.3650938035482
2019-07,5594,2582,3838.7302867383514,488248.316851178,698.7476775282892,1559,0,478.1792251142361,287629.1037052823,536.3106410516971,5266,1729,3360.551061624115,377902.4647035704,614.7377202543947
2019-08,6126,2590,3955.403785842294,539323.1416747323,734.386234671329,1558,0,516.8638624583334,284435.0071568947,533.324485802869,5656,1723,3438.5399233839607,482854.132195837,694.877062649097
2019-09,6576,2750,4151.5368055555555,612087.6070443145,782.3602795671023,1558,0,397.764441190625,175948.57211240174,419.4622415812915,6173,2035,3753.7723643649306,604446.7139025935,777.4617121779011
2019-10,6058,2968,4009.5633960573477,422132.2900546467,649.7170846257983,1561,0,367.96282621301526,198904.20062344105,445.98677180320163,5730,1808,3641.6005698443323,572322.1787375322,756.5197807972586
2019-11,5129,2331,3671.512326388889,284506.907376079,533.3918891172597,1558,0,206.03012890805556,79402.40687602533,281.7843268814384,5129,1555,3465.4821974808333,394000.8724024202,627.6948879849351
2019-12,4712,2396,3386.6784274193546,380770.4886845913,617.066032677696,1506,0,141.15130470085126,42768.82385053883,206.80624712648026,4706,980,3245.5271227185035,451611.4779701531,672.0204446072702
2020-01,4655,2466,3559.1140232974913,289192.0094011743,537.7657569994341,1542,0,105.87704737365591,27065.4223428685,164.51572065571273,4632,1471,3453.236975923835,317440.8968576548,563.4189354802115
2020-02,4812,2960,3814.591115900383,220356.21753811516,469.4211515666025,1563,0,247.71634842583813,105762.45523532972,325.2114008384849,4668,1766,3566.874767474545,326985.016278213,571.826036726392
2020-03,4625,2227,3142.5563396057346,296961.1006677695,544.9413736061609,1582,0,401.1342323227822,196218.48435775092,442.9655566268679,4489,670,2741.4221072829528,473149.49726236885,687.8586317422853
2020-04,2808,1787,2144.607986111111,16019.08157315213,126.56651047236836,1581,0,435.35231626987274,216286.91549969907,465.0665710408555,2754,280,1709.2556698412384,246978.23038764313,496.9690436914991
2020-05,2564.742863,1714,2268.0599466661065,28417.771638768278,168.57571485468563,1577,0,378.04560033989696,138960.28202646598,372.7737678894077,2564.742863,159,1890.0143463262098,193813.9024206613,440.24300382931847
2020-06,3927,2217,2700.872777333912,25895.321493607273,160.92023332572964,1566,0,552.8899711612037,265374.4737085483,515.1450996646947,3405,968,2147.9828061727085,252069.52507166803,502.065259773735
2020-07,5299,2252,3359.233870967742,390604.20383974677,624.9833628503616,1507,0,550.6479080044579,259537.196199624,509.4479327660718,4884,1191,2808.585962963284,541348.2381875756,735.7637108389999
2020-08,6973,2550,4212.0437948028675,952516.7117594077,975.969626453307,1372,0,495.2076281861223,215801.69801770744,464.54461359239485,6921,1895.9743041,3716.8361666167452,1012915.1081973669,1006.4368376591583
2020-09,6846,3275,4525.231481481482,509670.28556974616,713.9119592567042,1566,0,476.1159929038542,225722.75299038843,475.1028867417966,6555,1861,4049.1154885776273,719755.9752798233,848.3843322927547
2020-10,4746,2815,3447.1867719534052,84845.63008936572,291.2827322196867,1564,0,342.00570660104165,164773.60471393596,405.92315124163093,4350,1486,3105.1810653523635,260017.4539230419,509.91906605170385
2020-11,4422,2240,3363.296875,210171.57535775262,458.444735336499,1565,0,267.46933676780094,115040.23315244188,339.17581451577865,4338,826,3095.827538232199,324990.6860862829,570.0795436483254
2020-12,3430,2152,2898.6143593189963,89921.65377384736,299.86939452676285,1550,0,146.97414666057347,43781.97631876675,209.24143069374847,3421,847,2751.640212658423,124689.14839312294,353.1135063872847
2021-01,4698,2236,3164.4080421146955,124314.43155624243,352.5825173718096,1518,0,83.79853230125448,18148.374860281172,134.7159042588557,4004,2182,3080.609509813441,127876.76141464309,357.5986037649519
2021-02,5607,2936,3620.7725694444443,177917.66373975732,421.80287308143994,1574,0,194.84685118072917,85125.360973205,291.762507826494,4885.380952,2689.8375666,3425.925718263715,116516.89772046992,341.34571583728706
2021-03,5594,2809,3729.3274529569894,413181.94140711107,642.7923003638975,1589,0,525.7227884022514,256602.36672753343,506.5593417631674,4037,2033.1895777,3203.604664554738,286049.64604178444,534.8360926880164
2021-04,6468,1779,3663.871238425926,288811.29818297824,537.4116654697572,1562,0,336.3822423908333,151158.60660036857,388.791212092517,4926,1277.3875433,3327.4889960350924,182244.99438002918,426.90162143054596
2021-05,5865,2728,3634.2721774193546,443690.67353073496,666.1010985809398,1563,0,462.0475665946124,298752.1961529818,546.5822867171802,4719,2378.3862649,3172.2246108247423,88504.72682105971,297.49744002438024
2021-06,5807,2770,3847.3408564814813,540509.0581638904,735.1932114511739,1550,0,454.3157127900463,296263.3883687099,544.3008252508073,5086.7538493,2473.5680082999997,3393.025143691435,129038.19265211977,359.21886455491136
2021-07,6648,2987,4217.335349462365,569216.9895781012,754.4647039975437,1556,0,414.51626787533604,234384.22828612739,484.13244911504063,5232,2552.391159,3802.8190815870294,203367.81643822658,450.96320962826513
2021-08,7995,3359,5375.350694444444,1072441.466954772,1035.5874984542697,1557,0,514.1804901050292,271119.48809553066,520.6913558870847,6896,2744.7182657,4861.170204339415,648962.7899405473,805.5822676428195
2021-09,7991,2945,5288.777604166667,734278.718982148,856.9006470893507,1573,0,470.84919278939816,215729.48834132327,464.4668861623219,6529,2240.9264407,4817.928411377268,595571.655769789,771.7328914655569
2021-10,7565,3543,4637.290938620072,434693.30281558156,659.3127503814723,1574,0,296.5958026048387,112841.71744470745,335.9192126757674,6097,3068.1914424,4340.695136015233,350116.2792941545,591.7062440892056
2021-11,6274,2029,3910.48287037037,430627.84794874856,656.222407380873,1573,0,251.1561418318287,100902.6753571103,317.6518146605026,5046,1639.3449335,3659.326728538542,345306.3755468011,587.6277525328437
2021-12,5834,2007,3434.386760752688,392019.15136522386,626.1143277111807,1561,0,104.6364249718862,50082.47174611576,223.79113419909146,4592.5293943,1873.6960613,3329.750335780802,311137.8401848919,557.7973110233607
2022-01,2855,2584,2757.7166666666667,4891.867514124294,69.94188669262714,1,0,0.65,0.23135593220338982,0.4809947319913076,2854,2583,2757.0666666666666,4880.232768361582,69.85866280112712
